Order ID,Order Date,Months,Customer Name,Region,Category,Product,Quantity,Unit Price,Sales,Sales Check,Profit,Payment Method
ORD0001,2026-07-08 00:00:00,July,Nimali Silva,Sabaragamuwa,Electronics,Laptop,6,171901.06,1031406.36,1031406.36,128556.7,Cash
ORD0002,2026-06-04 00:00:00,June,Kasun Perera,Sabaragamuwa,Stationery,Notebook,1,1102.49,1102.49,1102.49,139.5,Card
ORD0003,2026-01-02 00:00:00,January,Amaya Fernando,North Central,Stationery,Pen Set,4,916.07,3664.28,3664.28,886.34,Bank Transfer
ORD0004,2026-01-24 00:00:00,January,Piumi Silva,Central,Accessories,Mouse,2,7094.38,14188.76,14188.76,2090.27,Bank Transfer
ORD0005,2026-04-07 00:00:00,April,Nimali Silva,Sabaragamuwa,Accessories,USB Cable,1,2614.87,2614.87,2614.87,489.62,Bank Transfer
ORD0006,2026-07-17 00:00:00,July,Sahan Kumara,Central,Accessories,Mouse,6,5940.42,35642.52,35642.52,7565.22,Card
ORD0007,2026-02-11 00:00:00,February,Tharushi Perera,North Western,Electronics,Monitor,3,54487.51,163462.53,163462.53,40346.16,Card
ORD0008,2026-03-04 00:00:00,March,Amaya Fernando,Uva,Accessories,Keyboard,5,12323.95,61619.75,61619.75,11512.29,Online
ORD0009,2026-01-15 00:00:00,January,Dilan Jayasinghe,Western,Accessories,Mouse,6,6271.57,37629.42,37629.42,8792.59,Bank Transfer
ORD0010,2026-08-13 00:00:00,August,Tharushi Perera,Northern,Stationery,Planner,1,1695.95,1695.95,1695.95,455.5,Online
ORD0011,2026-05-24 00:00:00,May,Nethmi Wijesinghe,Eastern,Stationery,File Folder,2,667.08,1334.16,1334.16,172.54,Online
ORD0012,2026-05-07 00:00:00,May,Nimali Silva,Western,Stationery,Planner,2,1979.04,3958.08,3958.08,426.15,Cash
ORD0013,2026-04-08 00:00:00,April,Chamod Senanayake,Uva,Home,Desk,6,63988.08,383928.48,383928.48,35592.3,Bank Transfer
ORD0014,2026-07-16 00:00:00,July,Tharushi Perera,Central,Electronics,Laptop,6,193852.38,1163114.28,1163114.28,267720.48,Bank Transfer
ORD0015,2026-07-04 00:00:00,July,Sahan Kumara,Sabaragamuwa,Stationery,Pen Set,4,810.58,3242.32,3242.32,727.64,Card
ORD0016,2026-04-06 00:00:00,April,Amaya Fernando,Sabaragamuwa,Electronics,Headphones,6,18027.59,108165.54,108165.54,12956.31,Cash
ORD0017,2026-08-01 00:00:00,August,Sahan Kumara,Northern,Accessories,Webcam,1,12913.23,12913.23,12913.23,1970.51,Cash
ORD0018,2026-07-14 00:00:00,July,Nethmi Wijesinghe,Southern,Home,Office Chair,1,43948.02,43948.02,43948.02,10688.36,Card
ORD0019,2026-02-24 00:00:00,February,Nethmi Wijesinghe,Northern,Stationery,Pen Set,3,904.98,2714.94,2714.94,546.57,Bank Transfer
ORD0020,2026-03-05 00:00:00,March,Dilan Jayasinghe,Central,Stationery,Planner,4,1943.86,7775.44,7775.44,1324.14,Bank Transfer
ORD0021,2026-06-11 00:00:00,June,Kasun Perera,Northern,Electronics,Smartphone,5,89684.13,448420.65,448420.65,42240.61,Cash
ORD0022,2026-05-05 00:00:00,May,Dilan Jayasinghe,Sabaragamuwa,Electronics,Headphones,1,18050.96,18050.96,18050.96,2449.43,Card
ORD0023,2026-01-25 00:00:00,January,Piumi Silva,North Western,Stationery,Pen Set,4,955.35,3821.4,3821.4,451.24,Online
ORD0024,2026-06-15 00:00:00,June,Nimali Silva,Western,Stationery,File Folder,6,637.58,3825.48,3825.48,805.99,Online
ORD0025,2026-02-05 00:00:00,February,Piumi Silva,Southern,Accessories,Keyboard,2,11259.82,22519.64,22519.64,4216.96,Bank Transfer
ORD0026,2026-05-21 00:00:00,May,Nimali Silva,Western,Stationery,Pen Set,1,889.76,889.76,889.76,224.46,Cash
ORD0027,2026-08-10 00:00:00,August,Piumi Silva,Western,Electronics,Smartphone,2,93221.87,186443.74,186443.74,32864.75,Card
ORD0028,2026-04-27 00:00:00,April,Sahan Kumara,North Central,Stationery,Notebook,4,1143.65,4574.6,4574.6,1083.33,Online
ORD0029,2026-07-08 00:00:00,July,Nethmi Wijesinghe,Western,Home,Desk,3,61330.11,183990.33,183990.33,16871.3,Bank Transfer
ORD0030,2026-05-16 00:00:00,May,Amaya Fernando,Western,Electronics,Laptop,5,179164.39,895821.95,895821.95,236387.19,Cash
ORD0031,2026-04-14 00:00:00,April,Nimali Silva,Northern,Home,Office Chair,5,38370.87,191854.35,191854.35,48417.1,Cash
ORD0032,2026-03-08 00:00:00,March,Dilan Jayasinghe,North Western,Electronics,Monitor,6,55920.4,335522.4,335522.4,61922.85,Card
ORD0033,2026-03-22 00:00:00,March,Nimali Silva,Western,Accessories,Webcam,2,14480.73,28961.46,28961.46,4054.59,Online
ORD0034,2026-03-31 00:00:00,March,Nimali Silva,Northern,Electronics,Laptop,5,169673.56,848367.8,848367.8,112866.92,Bank Transfer
ORD0035,2026-06-06 00:00:00,June,Nethmi Wijesinghe,Western,Accessories,Mouse,4,6933.87,27735.48,27735.48,6121.44,Bank Transfer
ORD0036,2026-05-22 00:00:00,May,Amaya Fernando,Eastern,Electronics,Smartphone,3,87693.14,263079.42,263079.42,26678.15,Bank Transfer
ORD0037,2026-05-10 00:00:00,May,Ravindu Fernando,Eastern,Home,Table Lamp,2,8818.75,17637.5,17637.5,4419.65,Cash
ORD0038,2026-02-03 00:00:00,February,Sahan Kumara,Southern,Electronics,Monitor,3,49984.95,149954.85,149954.85,22000.07,Online
ORD0039,2026-02-08 00:00:00,February,Nethmi Wijesinghe,Western,Stationery,Notebook,1,1098.06,1098.06,1098.06,281.79,Bank Transfer
ORD0040,2026-07-23 00:00:00,July,Kasun Perera,North Western,Home,Bookshelf,2,27250.97,54501.94,54501.94,8335,Card
ORD0041,2026-04-15 00:00:00,April,Chamod Senanayake,Southern,Home,Office Chair,3,44352.98,133058.94,133058.94,34173.12,Card
ORD0042,2026-03-27 00:00:00,March,Piumi Silva,Northern,Home,Desk,4,58822.22,235288.88,235288.88,53484.2,Bank Transfer
ORD0043,2026-02-26 00:00:00,February,Dilan Jayasinghe,Uva,Home,Office Chair,4,45126.2,180504.8,180504.8,45436.42,Bank Transfer
ORD0044,2026-03-26 00:00:00,March,Sahan Kumara,Central,Accessories,Mouse,2,5880.76,11761.52,11761.52,1395.22,Bank Transfer
ORD0045,2026-01-08 00:00:00,January,Nimali Silva,Eastern,Accessories,Webcam,6,15347.22,92083.32,92083.32,17241.97,Card
ORD0046,2026-07-21 00:00:00,July,Tharushi Perera,North Central,Accessories,Keyboard,1,12231.77,12231.77,12231.77,1824.21,Cash
ORD0047,2026-05-14 00:00:00,May,Nethmi Wijesinghe,Northern,Stationery,Pen Set,3,817.99,2453.97,2453.97,410.33,Bank Transfer
ORD0048,2026-06-19 00:00:00,June,Nimali Silva,Eastern,Stationery,Notebook,6,1300.99,7805.94,7805.94,1597.34,Bank Transfer
ORD0049,2026-02-19 00:00:00,February,Piumi Silva,North Central,Stationery,Planner,4,1871,7484,7484,1428.56,Card
ORD0050,2026-02-23 00:00:00,February,Piumi Silva,North Western,Accessories,Webcam,5,14934.43,74672.15,74672.15,10511.97,Online
ORD0051,2026-08-19 00:00:00,August,Amaya Fernando,Central,Stationery,File Folder,6,659.92,3959.52,3959.52,691.48,Bank Transfer
ORD0052,2026-02-20 00:00:00,February,Amaya Fernando,Western,Accessories,Keyboard,2,12414.71,24829.42,24829.42,3101.89,Cash
ORD0053,2026-04-17 00:00:00,April,Chamod Senanayake,Northern,Home,Bookshelf,5,32098.43,160492.15,160492.15,15177.04,Online
ORD0054,2026-08-17 00:00:00,August,Nimali Silva,North Central,Stationery,File Folder,2,650.66,1301.32,1301.32,283.07,Card
ORD0055,2026-02-01 00:00:00,February,Ravindu Fernando,Southern,Home,Bookshelf,1,30344.43,30344.43,30344.43,7995.58,Online
ORD0056,2026-04-20 00:00:00,April,Nethmi Wijesinghe,Uva,Accessories,Webcam,5,14882.02,74410.1,74410.1,19227.87,Card
ORD0057,2026-03-12 00:00:00,March,Nethmi Wijesinghe,Uva,Stationery,File Folder,3,735.25,2205.75,2205.75,546.97,Card
ORD0058,2026-03-27 00:00:00,March,Tharushi Perera,Sabaragamuwa,Accessories,Webcam,1,14597.93,14597.93,14597.93,1852.46,Cash
ORD0059,2026-02-24 00:00:00,February,Nimali Silva,North Central,Home,Desk,2,63479.46,126958.92,126958.92,14036.71,Online
ORD0060,2026-04-10 00:00:00,April,Chamod Senanayake,Western,Accessories,Webcam,4,12774.34,51097.36,51097.36,12599.5,Online
ORD0061,2026-08-17 00:00:00,August,Piumi Silva,Sabaragamuwa,Stationery,Notebook,3,1151.67,3455.01,3455.01,545.88,Card
ORD0062,2026-03-28 00:00:00,March,Piumi Silva,Southern,Stationery,Pen Set,3,888.45,2665.35,2665.35,228.7,Online
ORD0063,2026-01-22 00:00:00,January,Piumi Silva,Southern,Home,Office Chair,4,42771.9,171087.6,171087.6,36373.22,Online
ORD0064,2026-03-25 00:00:00,March,Tharushi Perera,North Central,Home,Office Chair,3,40984.47,122953.41,122953.41,15041.14,Bank Transfer
ORD0065,2026-01-14 00:00:00,January,Tharushi Perera,Northern,Stationery,Planner,1,1789.31,1789.31,1789.31,411.19,Cash
ORD0066,2026-02-09 00:00:00,February,Dilan Jayasinghe,Southern,Electronics,Laptop,2,169176.98,338353.96,338353.96,28447.45,Online
ORD0067,2026-02-12 00:00:00,February,Chamod Senanayake,Central,Electronics,Smartphone,4,98789.83,395159.32,395159.32,92222.13,Card
ORD0068,2026-06-23 00:00:00,June,Piumi Silva,North Central,Accessories,Keyboard,5,10861.63,54308.15,54308.15,7733.02,Card
ORD0069,2026-06-25 00:00:00,June,Chamod Senanayake,Central,Electronics,Smartphone,1,98746.67,98746.67,98746.67,13855.79,Cash
ORD0070,2026-03-29 00:00:00,March,Kasun Perera,North Central,Accessories,Webcam,6,13637.6,81825.6,81825.6,14826.16,Online
ORD0071,2026-07-01 00:00:00,July,Amaya Fernando,North Central,Electronics,Monitor,3,56491.44,169474.32,169474.32,41646.87,Card
ORD0072,2026-03-10 00:00:00,March,Tharushi Perera,Northern,Accessories,Webcam,4,13819.61,55278.44,55278.44,12504.27,Cash
ORD0073,2026-06-21 00:00:00,June,Piumi Silva,North Western,Accessories,Webcam,2,14701.33,29402.66,29402.66,5703.23,Cash
ORD0074,2026-03-08 00:00:00,March,Tharushi Perera,Eastern,Stationery,Planner,2,1795.52,3591.04,3591.04,542.12,Bank Transfer
ORD0075,2026-05-23 00:00:00,May,Dilan Jayasinghe,Uva,Electronics,Smartphone,1,90085.76,90085.76,90085.76,14529.54,Online
ORD0076,2026-03-04 00:00:00,March,Sahan Kumara,North Western,Stationery,Notebook,1,1150.62,1150.62,1150.62,185.11,Online
ORD0077,2026-04-27 00:00:00,April,Sahan Kumara,Eastern,Accessories,Webcam,6,14141.09,84846.54,84846.54,12757.7,Bank Transfer
ORD0078,2026-05-18 00:00:00,May,Amaya Fernando,Northern,Home,Office Chair,6,39417.71,236506.26,236506.26,24575.59,Card
ORD0079,2026-06-02 00:00:00,June,Sahan Kumara,Central,Stationery,Planner,6,1832.25,10993.5,10993.5,2550.95,Card
ORD0080,2026-05-17 00:00:00,May,Amaya Fernando,Eastern,Accessories,Mouse,3,6083.27,18249.81,18249.81,1511.63,Cash
